time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-13T12:08:05.010Z,35.7528333,-117.5813333,3.22,1.12,ml,23,64,0.06414,0.19,ci,ci38832775,2019-09-13T12:11:45.295Z,"16km W of Searles Valley, CA",earthquake,0.27,0.51,0.139,15,automatic,ci,ci
2019-09-13T12:07:53.760Z,37.6396675,-118.9351654,3.65,0.88,md,12,72,0.02658,0.02,nc,nc73272165,2019-09-13T12:09:30.020Z,"4km E of Mammoth Lakes, CA",earthquake,0.5,1.34,0.15,11,automatic,nc,nc
2019-09-13T12:05:48.940Z,33.3691667,-116.9401667,11.74,0.57,ml,21,77,0.0667,0.19,ci,ci38832767,2019-09-13T12:09:28.280Z,"7km WNW of Palomar Observatory, CA",earthquake,0.33,0.86,0.119,14,automatic,ci,ci
2019-09-13T12:04:59.820Z,37.6389999,-118.9361649,4.7,1.25,md,16,73,0.02715,0.02,nc,nc73272160,2019-09-13T12:06:33.914Z,"4km E of Mammoth Lakes, CA",earthquake,0.37,0.87,0.14,15,automatic,nc,nc
2019-09-13T12:04:48.200Z,37.6421661,-118.9353333,5.27,1.14,md,15,98,0.02409,0.02,nc,nc73272155,2019-09-13T12:06:25.404Z,"4km E of Mammoth Lakes, CA",earthquake,0.68,0.92,0.22,15,automatic,nc,nc
2019-09-13T12:04:32.622Z,35.33347321,-97.91004944,22.20095825,2.08,ml,10,160.5025787,0.1580856889,1.23816301,ok,ok2019ryve,2019-09-13T12:12:45.901Z,"3km NE of Minco, Oklahoma",earthquake,8.203453409,5.876820301,,7,automatic,ok,ok
2019-09-13T12:03:44.850Z,37.6419983,-118.9349976,5.22,1.44,md,17,70,0.0243,0.02,nc,nc73272150,2019-09-13T12:49:03.084Z,"4km E of Mammoth Lakes, CA",earthquake,0.51,0.79,0.19,16,automatic,nc,nc
2019-09-13T12:02:50.530Z,35.898,-117.7075,7.27,0.31,ml,10,92,0.06804,0.11,ci,ci38832751,2019-09-13T12:06:22.629Z,"18km ESE of Little Lake, CA",earthquake,0.29,0.84,0.121,5,automatic,ci,ci
2019-09-13T12:01:52.110Z,37.6386681,-118.9345016,5.13,2,md,21,68,0.02765,0.04,nc,nc73272145,2019-09-13T12:44:02.407Z,"4km E of Mammoth Lakes, CA",earthquake,0.45,0.7,0.23,19,automatic,nc,nc
2019-09-13T12:01:09.950Z,37.6419983,-118.9371643,5.36,1.99,md,17,68,0.02409,0.02,nc,nc73272135,2019-09-13T12:44:03.470Z,"4km E of Mammoth Lakes, CA",earthquake,0.47,0.89,0.22,16,automatic,nc,nc
2019-09-13T12:00:55.380Z,37.6375008,-118.9346695,3.99,1.18,md,9,84,0.02848,0.01,nc,nc73272125,2019-09-13T12:39:04.337Z,"4km E of Mammoth Lakes, CA",earthquake,0.53,1.75,0.15,9,automatic,nc,nc
2019-09-13T12:00:36.400Z,37.6421661,-118.9363327,5.03,1.6,md,17,68,0.02399,0.02,nc,nc73272120,2019-09-13T12:34:02.052Z,"4km E of Mammoth Lakes, CA",earthquake,0.44,0.82,0.19,16,automatic,nc,nc
2019-09-13T11:59:58.810Z,37.6385002,-118.9331665,5.35,2.22,md,17,126,0.02705,0.05,nc,nc73272130,2019-09-13T12:39:04.050Z,"4km E of Mammoth Lakes, CA",earthquake,0.63,0.82,0.19,14,automatic,nc,nc
2019-09-13T11:59:33.391Z,62.6186,-149.5438,50.6,2,ml,,,,0.46,ak,ak019brkhbwn,2019-09-13T12:03:01.140Z,"43km NE of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-09-13T11:58:55.110Z,38.8168335,-122.8246689,3.34,0.57,md,15,50,0.008699,0.02,nc,nc73272115,2019-09-13T12:00:34.787Z,"7km NW of The Geysers, CA",earthquake,0.29,0.66,0.01,2,automatic,nc,nc
2019-09-13T11:58:32.700Z,37.6413345,-118.9351654,5.13,1.77,md,15,68,0.02493,0.03,nc,nc73272110,2019-09-13T12:29:02.810Z,"4km E of Mammoth Lakes, CA",earthquake,0.56,0.83,0.14,14,automatic,nc,nc
2019-09-13T11:58:32.310Z,35.704,-117.524,8.26,0.98,ml,20,69,0.08965,0.15,ci,ci38832743,2019-09-13T12:02:18.458Z,"13km WSW of Searles Valley, CA",earthquake,0.28,0.78,0.091,13,automatic,ci,ci
2019-09-13T11:58:14.300Z,37.6386681,-118.9375,3.5,1.4,md,12,74,0.02739,0.03,nc,nc73272105,2019-09-13T12:24:01.823Z,"4km E of Mammoth Lakes, CA",earthquake,0.69,1.03,0.49,11,automatic,nc,nc
2019-09-13T11:56:14.450Z,37.6433334,-118.9329987,5.65,0.92,md,14,74,0.0233,0.02,nc,nc73272095,2019-09-13T11:57:49.221Z,"4km E of Mammoth Lakes, CA",earthquake,0.75,1.04,0.08,12,automatic,nc,nc
2019-09-13T11:54:44.610Z,39.5345,-120.3583,11.4,1.6,ml,14,180.82,0.118,0.09,nn,nn00703729,2019-09-13T11:59:59.074Z,"27km NNW of Truckee, California",earthquake,,1.9,,,automatic,nn,nn
2019-09-13T11:44:46.800Z,35.8016667,-117.584,12.48,0.63,ml,11,137,0.01783,0.19,ci,ci38832727,2019-09-13T11:48:32.141Z,"17km WNW of Searles Valley, CA",earthquake,0.58,0.85,0.166,7,automatic,ci,ci
2019-09-13T11:39:58.360Z,37.6445007,-118.9369965,5.33,0.92,md,13,121,0.02162,0.02,nc,nc73272065,2019-09-13T11:41:34.160Z,"4km ENE of Mammoth Lakes, CA",earthquake,0.79,0.97,0.23,12,automatic,nc,nc
2019-09-13T11:37:30.150Z,37.6413345,-118.93367,5.18,1.58,md,16,69,0.02514,0.03,nc,nc73272050,2019-09-13T12:15:05.332Z,"4km E of Mammoth Lakes, CA",earthquake,0.48,0.59,0.27,15,automatic,nc,nc
2019-09-13T11:36:59.650Z,37.6404991,-118.9356689,4.96,1.57,md,19,70,0.02571,0.03,nc,nc73272045,2019-09-13T12:10:04.297Z,"4km E of Mammoth Lakes, CA",earthquake,0.43,0.67,0.17,18,automatic,nc,nc
2019-09-13T11:36:09.641Z,36.5434,70.772,116.93,4.5,mb,,156,1.214,0.6,us,us70005ft8,2019-09-13T11:58:49.040Z,"36km S of Jarm, Afghanistan",earthquake,8.6,8.7,0.124,19,reviewed,us,us
2019-09-13T11:35:53.910Z,38.0597,-115.072,6,1.6,ml,16,94.11,0.461,0.17,nn,nn00703726,2019-09-13T11:39:19.053Z,"56km WNW of Pioche, Nevada",earthquake,,2.1,,,automatic,nn,nn
2019-09-13T11:34:50.870Z,33.5193333,-116.7411667,2.5,0.52,ml,24,38,0.04606,0.16,ci,ci38832703,2019-09-13T11:39:23.083Z,"7km WSW of Anza, CA",earthquake,0.19,0.31,0.078,19,automatic,ci,ci
2019-09-13T11:32:29.510Z,37.6391678,-118.9369965,2.97,0.77,md,8,133,0.02692,0.02,nc,nc73272040,2019-09-13T11:34:08.475Z,"4km E of Mammoth Lakes, CA",earthquake,0.82,1.85,0.09,8,automatic,nc,nc
2019-09-13T11:32:04.220Z,37.6435013,-118.9353333,5.5,1.23,md,13,72,0.02278,0.03,nc,nc73272035,2019-09-13T11:33:43.912Z,"4km E of Mammoth Lakes, CA",earthquake,0.58,0.87,0.11,13,automatic,nc,nc
2019-09-13T11:31:49.460Z,37.6413345,-118.9290009,5.2,0.85,md,10,147,0.02287,0.03,nc,nc73272025,2019-09-13T11:33:29.818Z,"4km E of Mammoth Lakes, CA",earthquake,0.86,1.19,0.23,9,automatic,nc,nc
2019-09-13T11:30:12.940Z,37.640667,-118.9375,5.14,2.07,md,15,99,0.0254,0.02,nc,nc73272010,2019-09-13T11:31:49.256Z,"4km E of Mammoth Lakes, CA",earthquake,0.58,1.65,0.39,15,automatic,nc,nc
2019-09-13T11:30:01.590Z,37.6414986,-118.9345016,5.15,0.98,md,10,95,0.02486,0.02,nc,nc73272015,2019-09-13T11:32:49.364Z,"4km E of Mammoth Lakes, CA",earthquake,0.76,1.35,0.12,7,automatic,nc,nc
2019-09-13T11:29:31.880Z,37.6558342,-118.9404984,0.8,1.86,md,15,168,0.01021,0.06,nc,nc73272005,2019-09-13T11:31:09.538Z,"4km ENE of Mammoth Lakes, CA",earthquake,0.51,1.72,0.34,18,automatic,nc,nc
2019-09-13T11:29:05.280Z,35.7926667,-117.6105,3.78,1.01,ml,24,58,0.02533,0.15,ci,ci38832679,2019-09-13T11:32:55.039Z,"19km W of Searles Valley, CA",earthquake,0.3,0.5,0.104,12,automatic,ci,ci
2019-09-13T11:29:02.240Z,37.6404991,-118.9373322,4.83,2.03,md,18,70,0.02557,0.02,nc,nc73272000,2019-09-13T11:30:38.713Z,"4km E of Mammoth Lakes, CA",earthquake,0.45,0.94,0.37,17,automatic,nc,nc
2019-09-13T11:28:44.530Z,37.6409988,-118.9363327,5.04,1.96,md,13,76,0.02515,0.02,nc,nc73271995,2019-09-13T11:30:24.399Z,"4km E of Mammoth Lakes, CA",earthquake,0.56,0.94,0.25,12,automatic,nc,nc
2019-09-13T11:28:07.220Z,37.651165,-118.9860001,-1.59,1.77,md,7,105,0.03958,0.04,nc,nc73271990,2019-09-13T11:29:49.106Z,"2km NNW of Mammoth Lakes, CA",earthquake,0.75,0.69,0.25,7,automatic,nc,nc
2019-09-13T11:27:48.360Z,37.6783333,-118.9391632,-2.34,2.84,md,12,184,0.01228,0.16,nc,nc73271985,2019-09-13T12:52:03.752Z,"6km NE of Mammoth Lakes, CA",earthquake,1.09,0.68,0.73,13,automatic,nc,nc
2019-09-13T11:26:49.600Z,37.6418343,-118.935997,5.23,2.03,md,20,68,0.02435,0.03,nc,nc73271980,2019-09-13T12:05:05.475Z,"4km E of Mammoth Lakes, CA",earthquake,0.46,0.65,0.2,19,automatic,nc,nc
2019-09-13T11:26:21.590Z,37.6611671,-118.9228363,-1.51,0.99,md,5,229,0.0143,0.15,nc,nc73271975,2019-09-13T11:27:59.353Z,"6km ENE of Mammoth Lakes, CA",earthquake,1.27,0.67,0.07,6,automatic,nc,nc
2019-09-13T11:25:21.410Z,37.6461678,-118.9353333,5.11,1.52,md,16,90,0.02015,0.04,nc,nc73271960,2019-09-13T12:52:03.095Z,"4km ENE of Mammoth Lakes, CA",earthquake,0.48,0.53,0.28,16,automatic,nc,nc
2019-09-13T11:21:52.100Z,37.6523323,-118.9338303,5.41,1.22,md,8,93,0.01448,0.04,nc,nc73271955,2019-09-13T11:56:07.077Z,"4km ENE of Mammoth Lakes, CA",earthquake,0.81,1.4,0.1,8,automatic,nc,nc
2019-09-13T11:21:40.950Z,37.6426659,-118.9383316,5.15,2.01,md,14,66,0.02336,0.04,nc,nc73271950,2019-09-13T12:41:03.918Z,"4km E of Mammoth Lakes, CA",earthquake,0.61,1.24,0.55,13,automatic,nc,nc
2019-09-13T11:21:30.100Z,37.6416664,-118.8949966,-0.9,0.9,md,7,163,0.01571,0.03,nc,nc73271945,2019-09-13T11:23:09.215Z,"7km E of Mammoth Lakes, CA",earthquake,0.84,0.28,0.1,10,automatic,nc,nc
2019-09-13T11:21:04.460Z,37.6398315,-118.9363327,4.21,0.69,md,10,100,0.02631,0.01,nc,nc73271940,2019-09-13T11:22:44.818Z,"4km E of Mammoth Lakes, CA",earthquake,1.03,2.89,0.22,10,automatic,nc,nc
2019-09-13T11:20:22.850Z,37.6416664,-118.9366684,5.2,1.64,md,19,67,0.02446,0.03,nc,nc73271935,2019-09-13T12:41:03.341Z,"4km E of Mammoth Lakes, CA",earthquake,0.51,0.65,0.13,18,automatic,nc,nc
2019-09-13T11:19:26.280Z,37.6403351,-118.9363327,4.45,0.9,md,9,106,0.02581,0.02,nc,nc73271930,2019-09-13T11:46:02.931Z,"4km E of Mammoth Lakes, CA",earthquake,1.32,2.75,0.25,9,automatic,nc,nc
2019-09-13T11:19:05.740Z,37.6408348,-118.9345016,4.98,0.69,md,7,128,0.02551,0.01,nc,nc73271925,2019-09-13T11:20:44.100Z,"4km E of Mammoth Lakes, CA",earthquake,2.66,6.56,0.12,9,automatic,nc,nc
2019-09-13T11:18:32.090Z,37.6425018,-118.9358368,5.38,1.59,md,18,69,0.02371,0.03,nc,nc73271920,2019-09-13T12:31:02.823Z,"4km E of Mammoth Lakes, CA",earthquake,0.52,0.79,0.26,17,automatic,nc,nc
2019-09-13T11:18:00.920Z,37.6391678,-118.9365005,4.34,2.56,md,12,73,0.02695,0.02,nc,nc73271915,2019-09-13T12:20:03.361Z,"4km E of Mammoth Lakes, CA",earthquake,0.67,1.95,0.26,10,automatic,nc,nc
2019-09-13T11:16:05.640Z,37.633667,-118.9296646,2.75,0.87,md,10,85,0.02257,0.04,nc,nc73271905,2019-09-13T11:32:01.851Z,"4km E of Mammoth Lakes, CA",earthquake,0.62,1.17,0.07,9,automatic,nc,nc
2019-09-13T11:15:40.544Z,69.2388,-147.7843,0,1.7,ml,,,,0.64,ak,ak019brk7wxr,2019-09-13T11:19:42.802Z,"115km S of Prudhoe Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-13T11:14:18.430Z,37.6464996,-118.944664,5.35,0.91,md,8,139,0.03006,0.02,nc,nc73271900,2019-09-13T11:27:03.818Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.91,2.18,0.14,7,automatic,nc,nc
2019-09-13T11:04:19.840Z,35.7838333,-117.5886667,4.02,0.83,ml,18,62,0.03264,0.16,ci,ci38832655,2019-09-13T11:08:05.909Z,"17km W of Searles Valley, CA",earthquake,0.31,0.54,0.16,11,automatic,ci,ci
2019-09-13T10:59:34.080Z,35.7838333,-117.6255,9.72,0.42,ml,8,90,0.03913,0.13,ci,ci38832647,2019-09-13T11:03:18.875Z,"19km NNE of Ridgecrest, CA",earthquake,0.39,0.68,0.233,5,automatic,ci,ci
2019-09-13T10:56:36.970Z,19.0633,-67.292,34,2.83,md,5,319,0.6226,0.41,pr,pr2019256006,2019-09-13T11:51:59.115Z,"66km NNW of San Antonio, Puerto Rico",earthquake,2.93,11.72,0.1,5,reviewed,pr,pr
2019-09-13T10:54:13.550Z,33.4421667,-116.4621667,22.94,0.68,ml,18,123,0.08656,0.29,ci,ci38832631,2019-09-13T10:58:01.839Z,"22km NNW of Borrego Springs, CA",earthquake,0.87,1.64,0.096,18,automatic,ci,ci
2019-09-13T10:52:27.880Z,38.8354988,-122.7965012,2.01,0.81,md,9,92,0.005619,0.01,nc,nc73271885,2019-09-13T10:54:04.055Z,"6km WNW of Cobb, CA",earthquake,0.41,0.76,0.07,2,automatic,nc,nc
2019-09-13T10:51:07.840Z,37.6413345,-118.9393311,5.68,1.43,md,18,69,0.02467,0.02,nc,nc73271875,2019-09-13T12:20:04.172Z,"4km E of Mammoth Lakes, CA",earthquake,0.48,0.65,0.09,17,automatic,nc,nc
2019-09-13T10:50:33.840Z,35.5923333,-117.3851667,5.06,0.98,ml,19,112,0.06306,0.18,ci,ci38832623,2019-09-13T10:54:20.648Z,"19km S of Trona, CA",earthquake,0.39,0.55,0.094,12,automatic,ci,ci
2019-09-13T10:50:00.080Z,37.6425018,-118.9404984,5.74,1.64,md,19,66,0.02351,0.03,nc,nc73271870,2019-09-13T12:10:03.297Z,"3km E of Mammoth Lakes, CA",earthquake,0.52,0.75,0.13,18,automatic,nc,nc
2019-09-13T10:47:06.430Z,36.6011658,-121.060997,7.21,2.18,md,30,75,0.02846,0.16,nc,nc73271860,2019-09-13T12:00:04.100Z,"11km NE of Pinnacles, CA",earthquake,0.39,0.76,0.18,23,automatic,nc,nc
2019-09-13T10:44:56.970Z,37.6408348,-118.9471664,3.87,0.91,md,11,67,0.0257,0.02,nc,nc73271855,2019-09-13T10:46:34.265Z,"3km E of Mammoth Lakes, CA",earthquake,0.9,2.08,0.09,10,automatic,nc,nc
2019-09-13T10:43:31.610Z,37.6418343,-118.9458313,4.9,1.35,md,19,65,0.02464,0.02,nc,nc73271850,2019-09-13T12:00:03.101Z,"3km E of Mammoth Lakes, CA",earthquake,0.39,0.92,0.12,18,automatic,nc,nc
2019-09-13T10:42:17.413Z,64.6852,-146.8461,5.3,1.3,ml,,,,0.36,ak,ak019brjs7vy,2019-09-13T10:47:26.520Z,"10km ENE of Eielson Air Force Base, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-13T10:41:32.660Z,37.6436653,-118.9448318,5.23,1.91,md,18,119,0.02903,0.02,nc,nc73271840,2019-09-13T11:49:02.035Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.55,0.81,0.14,18,automatic,nc,nc
2019-09-13T10:40:01.530Z,39.2365,-119.8283,5.5,0.7,ml,10,83.99,0.095,0.11,nn,nn00703719,2019-09-13T10:43:45.469Z,"9km NNW of Carson City, Nevada",earthquake,,1.4,,,automatic,nn,nn
2019-09-13T10:38:47.850Z,38.8201675,-122.760498,1.65,0.83,md,8,152,0.01265,0.01,nc,nc73271825,2019-09-13T11:39:05.221Z,"3km W of Cobb, CA",earthquake,0.47,0.63,0.08,2,automatic,nc,nc
2019-09-13T10:37:46.350Z,37.6414986,-118.9430008,5.25,1.52,md,20,66,0.02463,0.03,nc,nc73271820,2019-09-13T11:26:03.812Z,"3km E of Mammoth Lakes, CA",earthquake,0.44,0.83,0.17,19,automatic,nc,nc
2019-09-13T10:37:35.240Z,33.3564987,-116.3984985,8.07,0.93,ml,35,110,0.08944,0.17,ci,ci38832615,2019-09-13T10:41:04.731Z,"11km N of Borrego Springs, CA",earthquake,0.39,1.13,0.088,6,automatic,ci,ci
2019-09-13T10:37:28.290Z,37.6408348,-118.9455032,5.02,1.24,md,15,66,0.02557,0.02,nc,nc73271815,2019-09-13T11:16:04.750Z,"3km E of Mammoth Lakes, CA",earthquake,0.74,1.34,0.17,14,automatic,nc,nc
2019-09-13T10:35:11.450Z,37.6431656,-118.9453354,4.98,1.14,md,16,69,0.02326,0.02,nc,nc73271805,2019-09-13T10:55:02.292Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.64,1.38,0.15,15,automatic,nc,nc
2019-09-13T10:31:46.465Z,66.331,-157.2072,8.7,1.2,ml,,,,0.48,ak,ak019brjpx93,2019-09-13T10:35:03.309Z,"65km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-13T10:28:28.550Z,36.598835,-121.1986694,5.21,1.7,md,13,153,0.02911,0.07,nc,nc73271800,2019-09-13T10:45:04.230Z,"9km NNW of Pinnacles, CA",earthquake,0.56,0.85,0.25,10,automatic,nc,nc
2019-09-13T10:25:09.429Z,60.2831,-143.1395,0.9,1.7,ml,,,,0.92,ak,ak019brjok1q,2019-09-13T10:31:22.162Z,"46km WNW of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-13T10:24:37.300Z,35.7593333,-117.5803333,6.86,0.87,ml,18,112,0.05799,0.15,ci,ci38832607,2019-09-13T10:28:34.649Z,"16km W of Searles Valley, CA",earthquake,0.36,0.83,0.144,11,automatic,ci,ci
2019-09-13T10:18:44.090Z,36.018,-117.554,-0.19,0.89,ml,9,138,0.06608,0.39,ci,ci38832599,2019-09-13T10:22:39.568Z,"31km NNW of Searles Valley, CA",earthquake,1.35,31.61,0.152,11,automatic,ci,ci
2019-09-13T10:18:30.359Z,60.0304,-152.0377,72.7,1.7,ml,,,,0.44,ak,ak019brjn3p9,2019-09-13T10:24:49.411Z,"30km NNW of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-09-13T09:58:19.400Z,36.037,-117.861,1.55,1.37,ml,22,80,0.03769,0.17,ci,ci38832583,2019-09-13T10:08:51.990Z,"8km E of Coso Junction, CA",earthquake,0.25,0.33,0.156,22,automatic,ci,ci
2019-09-13T09:49:53.060Z,35.9346667,-117.6963333,5.1,0.6,ml,7,105,0.03956,0.05,ci,ci38832567,2019-09-13T09:53:26.012Z,"19km E of Little Lake, CA",earthquake,0.33,0.56,0.094,4,automatic,ci,ci
2019-09-13T09:48:37.580Z,35.8596667,-117.6973333,4.55,2.16,ml,36,48,0.07492,0.17,ci,ci38832559,2019-09-13T09:59:34.260Z,"21km ESE of Little Lake, CA",earthquake,0.21,0.5,0.163,24,automatic,ci,ci
2019-09-13T09:40:19.540Z,35.9151667,-117.6843333,2.31,0.86,ml,10,74,0.04274,0.14,ci,ci38832551,2019-09-13T09:43:56.236Z,"20km E of Little Lake, CA",earthquake,0.27,0.42,0.146,10,automatic,ci,ci
2019-09-13T09:40:14.420Z,33.9985,-116.5805,14.74,0.66,ml,12,119,0.06241,0.14,ci,ci38832543,2019-09-13T09:43:48.793Z,"5km S of Morongo Valley, CA",earthquake,0.41,0.73,0.183,15,automatic,ci,ci
2019-09-13T09:37:56.650Z,35.8988333,-117.6885,5.4,0.66,ml,7,153,0.05792,0.15,ci,ci38832535,2019-09-13T09:41:23.404Z,"20km ESE of Little Lake, CA",earthquake,0.5,1.6,0.184,5,automatic,ci,ci
2019-09-13T09:24:56.350Z,36.6004982,-121.1996689,5.12,2.98,md,57,66,,0.1,nc,nc73271745,2019-09-13T12:24:02.783Z,"9km NNW of Pinnacles, CA",earthquake,0.18,0.61,0.18,65,automatic,nc,nc
2019-09-13T09:23:57.880Z,33.632,-117.0051667,4.17,0.52,ml,15,85,0.01832,0.1,ci,ci38832511,2019-09-13T09:27:41.106Z,"11km SE of Winchester, CA",earthquake,0.28,0.36,0.125,9,automatic,ci,ci
2019-09-13T09:23:49.790Z,37.6446648,-118.9335022,5.19,1.03,md,16,118,0.02191,0.02,nc,nc73271740,2019-09-13T09:35:03.337Z,"4km ENE of Mammoth Lakes, CA",earthquake,0.85,0.93,0.21,16,automatic,nc,nc
2019-09-13T09:21:24.220Z,38.8236656,-122.7656631,2.12,0.54,md,10,127,0.007563,0.01,nc,nc73271725,2019-09-13T09:28:03.297Z,"4km W of Cobb, CA",earthquake,0.41,0.61,0.1,3,automatic,nc,nc
2019-09-13T09:18:21.295Z,14.9398,122.1546,24.19,4.7,mb,,58,7.901,0.87,us,us70005fsh,2019-09-13T11:38:06.593Z,"12km ESE of Carlagan, Philippines",earthquake,8.3,5.4,0.064,74,reviewed,us,us
2019-09-13T09:15:30.100Z,37.6388321,-118.9396667,3.47,0.82,md,10,104,0.02716,0.02,nc,nc73271720,2019-09-13T09:24:02.276Z,"4km E of Mammoth Lakes, CA",earthquake,0.64,1.43,0.13,10,automatic,nc,nc
2019-09-13T09:02:31.840Z,35.8606682,-117.6715012,9.62,0.82,ml,12,89,0.075,0.1,ci,ci38832487,2019-09-13T09:06:24.650Z,"23km ESE of Little Lake, CA",earthquake,0.58,1.26,0.203,6,automatic,ci,ci
2019-09-13T08:58:13.630Z,35.5668333,-117.3933333,2.96,1.34,ml,24,83,0.04794,0.2,ci,ci38832479,2019-09-13T09:02:14.029Z,"22km S of Trona, CA",earthquake,0.26,0.3,0.194,19,automatic,ci,ci
2019-09-13T08:56:05.220Z,35.8088333,-117.6383333,8.32,0.56,ml,10,78,0.03389,0.16,ci,ci38832471,2019-09-13T08:59:52.488Z,"21km N of Ridgecrest, CA",earthquake,0.42,0.89,0.104,7,automatic,ci,ci
2019-09-13T08:54:31.810Z,35.718,-117.5381667,7.46,1.39,ml,28,69,0.09901,0.14,ci,ci38832463,2019-09-13T09:05:17.710Z,"13km WSW of Searles Valley, CA",earthquake,0.22,0.73,0.121,20,automatic,ci,ci
2019-09-13T08:50:59.040Z,35.7268333,-117.5628333,6.81,0.77,ml,18,111,0.09309,0.18,ci,ci38832455,2019-09-13T08:54:42.990Z,"15km WSW of Searles Valley, CA",earthquake,0.46,1.02,0.235,8,automatic,ci,ci
2019-09-13T08:45:32.601Z,60.208,-152.3868,76.4,1.4,ml,,,,0.38,ak,ak019brim0zy,2019-09-13T08:49:31.313Z,"36km SSE of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
